index,data
132,"[36, 71, 44, 23, 60, 41, 4, 65, 46, 37]"
133,"[69, 23, 30, 21, 29, 28, 62, 51, 41, 7]"
134,"[50, 27, 48, 1, 78, 12, 55, 23, 75, 5]"
135,"[80, 65, 68, 54, 9, 58, 13, 61, 5, 73]"
136,"[22, 43, 59, 7, 54, 37, 15, 18, 70, 40]"
137,"[20, 65, 1, 10, 75, 36, 44, 67, 62, 48]"
138,"[53, 64, 67, 33, 28, 43, 14, 61, 13, 29]"
139,"[40, 67, 66, 69, 1, 11, 61, 12, 78, 10]"
140,"[22, 18, 61, 40, 69, 76, 41, 35, 44, 26]"
141,"[43, 70, 10, 68, 47, 17, 8, 1, 58, 33]"
142,"[4, 69, 14, 60, 77, 63, 34, 38, 31, 57]"
143,"[80, 68, 10, 31, 44, 35, 42, 26, 47, 29]"
144,"[68, 33, 78, 28, 61, 31, 37, 53, 69, 75]"
145,"[53, 44, 61, 50, 4, 34, 47, 8, 24, 5]"
146,"[29, 12, 80, 43, 70, 17, 58, 44, 41, 16]"
147,"[2, 3, 73, 6, 40, 64, 4, 30, 33, 10]"
148,"[2, 14, 77, 78, 24, 47, 65, 16, 28, 42]"
149,"[34, 69, 72, 64, 61, 73, 66, 38, 78, 47]"
150,"[25, 35, 16, 61, 8, 71, 54, 74, 80, 19]"
151,"[72, 71, 39, 54, 63, 42, 60, 67, 43, 75]"
152,"[44, 33, 59, 38, 66, 23, 37, 30, 36, 45]"
153,"[30, 44, 57, 12, 67, 59, 61, 7, 32, 25]"
154,"[26, 71, 77, 1, 54, 49, 16, 65, 3, 45]"
155,"[7, 70, 11, 66, 52, 31, 28, 41, 3, 21]"
156,"[2, 19, 75, 53, 50, 12, 38, 15, 36, 17]"
157,"[60, 18, 7, 70, 27, 35, 52, 15, 74, 29]"
158,"[12, 1, 44, 60, 55, 15, 68, 53, 7, 6]"
159,"[37, 44, 59, 25, 34, 72, 68, 22, 60, 33]"
160,"[17, 24, 52, 55, 39, 48, 27, 15, 30, 71]"
161,"[3, 75, 37, 54, 11, 33, 44, 60, 62, 27]"
162,"[63, 15, 23, 19, 55, 5, 12, 33, 60, 75]"
163,"[67, 6, 34, 43, 62, 3, 8, 75, 19, 30]"
164,"[54, 41, 12, 13, 67, 77, 27, 18, 5, 19]"
165,"[58, 51, 79, 64, 13, 25, 28, 56, 24, 38]"
166,"[12, 70, 76, 26, 38, 64, 63, 3, 43, 34]"
167,"[17, 36, 72, 61, 9, 24, 45, 32, 55, 2]"
168,"[66, 15, 64, 21, 61, 51, 58, 73, 60, 23]"
169,"[64, 42, 17, 58, 33, 73, 53, 68, 52, 5]"
170,"[59, 74, 57, 30, 66, 28, 7, 68, 6, 22]"
171,"[28, 71, 19, 5, 45, 21, 42, 65, 37, 24]"
172,"[20, 28, 43, 65, 19, 37, 80, 23, 1, 61]"
173,"[32, 25, 44, 8, 65, 55, 20, 62, 28, 48]"
174,"[6, 57, 15, 29, 11, 69, 38, 43, 80, 26]"
175,"[60, 77, 38, 53, 51, 76, 9, 17, 29, 74]"
176,"[30, 45, 58, 56, 47, 59, 17, 41, 22, 73]"
177,"[61, 22, 21, 38, 56, 34, 74, 69, 30, 12]"
178,"[58, 42, 12, 33, 68, 36, 79, 26, 14, 57]"
179,"[64, 40, 30, 5, 58, 2, 49, 29, 35, 59]"
180,"[10, 49, 12, 30, 40, 47, 80, 55, 48, 32]"
181,"[28, 8, 2, 42, 69, 75, 76, 59, 60, 58]"
182,"[16, 79, 20, 6, 28, 50, 21, 77, 11, 56]"
183,"[67, 15, 37, 9, 56, 78, 18, 10, 20, 3]"
184,"[9, 78, 4, 57, 2, 15, 1, 13, 51, 47]"
185,"[7, 2, 38, 77, 27, 48, 26, 42, 18, 78]"
186,"[45, 54, 36, 55, 46, 42, 57, 58, 52, 75]"
187,"[44, 57, 30, 28, 38, 7, 61, 55, 68, 15]"
188,"[72, 68, 62, 7, 25, 65, 4, 57, 14, 24]"
189,"[7, 48, 16, 47, 3, 20, 64, 40, 43, 44]"
190,"[59, 11, 34, 69, 43, 32, 72, 60, 4, 79]"
191,"[30, 3, 48, 17, 68, 39, 56, 63, 50, 60]"
192,"[49, 5, 11, 65, 66, 47, 77, 25, 15, 44]"
193,"[45, 70, 66, 51, 62, 43, 20, 58, 60, 17]"
194,"[22, 4, 9, 40, 66, 74, 64, 35, 50, 49]"
195,"[77, 5, 69, 56, 42, 80, 54, 8, 72, 55]"
196,"[33, 17, 63, 68, 21, 59, 41, 58, 29, 80]"
197,"[19, 5, 24, 46, 3, 35, 14, 40, 11, 41]"
198,"[53, 15, 21, 47, 33, 9, 46, 57, 50, 23]"
199,"[28, 35, 6, 80, 3, 15, 68, 21, 45, 25]"
200,"[32, 67, 61, 11, 19, 2, 26, 65, 30, 44]"
201,"[39, 35, 31, 43, 47, 65, 7, 9, 56, 17]"
202,"[60, 20, 73, 54, 80, 40, 34, 33, 5, 2]"
203,"[3, 66, 61, 38, 68, 40, 42, 57, 55, 71]"
204,"[31, 49, 22, 21, 24, 76, 58, 17, 18, 61]"
205,"[8, 28, 54, 4, 59, 33, 76, 69, 31, 25]"
206,"[49, 5, 61, 19, 67, 43, 33, 60, 53, 3]"
207,"[17, 27, 64, 52, 74, 44, 35, 60, 72, 8]"
208,"[21, 7, 76, 77, 45, 71, 23, 80, 36, 78]"
209,"[19, 44, 74, 39, 35, 25, 16, 62, 21, 28]"
210,"[37, 24, 22, 63, 23, 28, 33, 54, 40, 59]"
211,"[39, 57, 71, 49, 78, 44, 61, 32, 66, 56]"
212,"[4, 23, 50, 29, 68, 38, 15, 22, 33, 56]"
213,"[25, 58, 18, 62, 43, 16, 61, 6, 13, 70]"
214,"[24, 31, 39, 32, 46, 49, 68, 67, 53, 18]"
215,"[78, 47, 26, 67, 13, 31, 79, 14, 62, 57]"
216,"[51, 37, 33, 63, 26, 5, 2, 61, 48, 31]"
217,"[19, 44, 77, 54, 16, 36, 31, 53, 13, 2]"
218,"[59, 33, 48, 41, 55, 25, 32, 1, 46, 53]"
219,"[42, 18, 34, 33, 53, 39, 27, 48, 79, 75]"
220,"[49, 26, 31, 9, 19, 46, 77, 56, 70, 34]"
221,"[65, 66, 47, 13, 22, 14, 71, 51, 53, 6]"
222,"[12, 22, 44, 38, 62, 47, 49, 57, 32, 28]"
223,"[70, 55, 12, 7, 20, 60, 64, 6, 10, 24]"
224,"[7, 56, 23, 76, 19, 20, 47, 50, 59, 30]"
225,"[45, 47, 36, 78, 77, 71, 57, 19, 16, 20]"
226,"[22, 36, 48, 14, 73, 9, 74, 65, 29, 56]"
227,"[42, 66, 74, 48, 77, 29, 40, 41, 44, 78]"
228,"[51, 31, 24, 5, 46, 73, 8, 21, 32, 67]"
229,"[32, 67, 6, 28, 37, 17, 34, 27, 59, 69]"
230,"[33, 67, 13, 40, 8, 77, 74, 45, 58, 73]"
231,"[26, 78, 18, 50, 19, 69, 58, 34, 27, 38]"
232,"[38, 20, 15, 9, 58, 56, 79, 47, 54, 39]"
233,"[2, 37, 71, 75, 6, 43, 69, 31, 47, 57]"
234,"[74, 11, 55, 24, 28, 34, 36, 42, 23, 71]"
235,"[39, 12, 35, 14, 51, 2, 73, 70, 65, 11]"
236,"[55, 15, 54, 68, 6, 34, 58, 5, 75, 23]"
237,"[62, 8, 49, 26, 3, 75, 22, 59, 46, 65]"
238,"[58, 30, 69, 3, 16, 15, 11, 22, 5, 17]"
239,"[76, 29, 44, 56, 21, 27, 35, 47, 52, 40]"
240,"[74, 15, 14, 31, 26, 20, 62, 35, 54, 23]"
241,"[63, 12, 66, 16, 29, 26, 40, 70, 54, 36]"
242,"[64, 13, 78, 53, 47, 51, 62, 50, 17, 6]"
243,"[3, 48, 75, 74, 8, 70, 17, 15, 9, 39]"
244,"[36, 15, 56, 39, 75, 25, 37, 50, 78, 34]"
245,"[70, 45, 8, 3, 72, 51, 64, 76, 21, 37]"
246,"[13, 17, 21, 22, 3, 30, 38, 79, 61, 54]"
247,"[51, 6, 18, 61, 67, 56, 57, 8, 60, 17]"
248,"[13, 53, 75, 67, 32, 57, 80, 25, 76, 66]"
249,"[50, 5, 22, 3, 37, 48, 47, 44, 60, 1]"
250,"[43, 46, 54, 79, 27, 12, 23, 31, 14, 48]"
251,"[69, 76, 43, 40, 67, 63, 54, 30, 16, 45]"
252,"[35, 52, 63, 64, 4, 60, 68, 33, 80, 58]"
253,"[38, 56, 49, 28, 15, 65, 8, 68, 69, 51]"
254,"[30, 61, 31, 42, 47, 78, 56, 1, 70, 32]"
255,"[69, 54, 43, 1, 60, 6, 68, 33, 34, 14]"
256,"[4, 1, 10, 31, 72, 5, 39, 62, 37, 42]"
257,"[52, 44, 1, 18, 62, 60, 38, 43, 20, 75]"
258,"[28, 30, 63, 64, 3, 25, 24, 27, 79, 14]"
259,"[41, 14, 59, 1, 8, 21, 19, 45, 20, 24]"
260,"[75, 57, 23, 33, 14, 36, 16, 67, 50, 69]"
261,"[24, 32, 71, 79, 19, 2, 20, 76, 75, 3]"
262,"[34, 40, 69, 53, 9, 10, 15, 28, 55, 57]"
263,"[16, 34, 20, 51, 74, 65, 63, 42, 52, 12]"
264,"[62, 63, 45, 40, 26, 52, 35, 65, 79, 28]"
265,"[49, 18, 23, 11, 28, 40, 8, 61, 12, 25]"
266,"[24, 30, 75, 45, 69, 27, 64, 21, 63, 3]"
267,"[35, 44, 76, 45, 74, 24, 19, 62, 26, 8]"
268,"[8, 60, 43, 38, 62, 53, 39, 41, 59, 3]"
269,"[60, 31, 29, 63, 15, 23, 7, 5, 20, 52]"
270,"[53, 25, 10, 67, 48, 75, 78, 69, 33, 71]"
271,"[4, 26, 73, 21, 18, 57, 17, 77, 71, 70]"
272,"[60, 77, 56, 13, 16, 21, 51, 73, 34, 71]"
273,"[26, 73, 44, 3, 40, 74, 31, 7, 13, 43]"
274,"[43, 49, 42, 17, 7, 47, 36, 63, 21, 35]"
275,"[32, 18, 3, 74, 23, 53, 51, 66, 50, 37]"
276,"[57, 34, 2, 18, 16, 33, 23, 40, 20, 37]"
277,"[55, 46, 50, 52, 61, 11, 63, 20, 49, 31]"
278,"[58, 62, 47, 5, 45, 29, 54, 10, 60, 14]"
279,"[45, 71, 69, 30, 19, 54, 17, 10, 20, 80]"
280,"[19, 69, 28, 55, 70, 77, 45, 76, 30, 72]"
281,"[4, 47, 61, 72, 11, 32, 38, 39, 50, 33]"
282,"[3, 71, 4, 10, 8, 7, 9, 60, 62, 51]"
283,"[63, 44, 50, 60, 43, 45, 72, 41, 34, 53]"
284,"[65, 49, 66, 46, 24, 67, 7, 64, 70, 29]"
285,"[19, 36, 71, 72, 74, 78, 67, 3, 43, 76]"
286,"[38, 50, 40, 76, 27, 19, 74, 6, 13, 43]"
287,"[2, 24, 51, 21, 70, 38, 76, 53, 59, 40]"
288,"[31, 62, 22, 75, 68, 5, 74, 46, 64, 25]"
289,"[24, 38, 11, 25, 8, 62, 47, 48, 59, 60]"
290,"[34, 30, 77, 18, 14, 27, 9, 41, 19, 62]"
291,"[60, 41, 39, 70, 22, 59, 43, 4, 65, 28]"
292,"[71, 72, 2, 73, 6, 74, 62, 77, 4, 38]"
293,"[29, 38, 72, 44, 10, 20, 75, 65, 58, 57]"
294,"[44, 12, 70, 79, 55, 77, 10, 20, 52, 80]"
295,"[24, 12, 79, 31, 3, 49, 26, 74, 60, 54]"
296,"[59, 15, 27, 35, 43, 69, 17, 47, 8, 76]"
297,"[17, 28, 49, 62, 52, 20, 45, 59, 61, 9]"
298,"[55, 29, 40, 72, 34, 68, 75, 38, 80, 61]"
299,"[41, 15, 62, 30, 16, 8, 55, 37, 44, 63]"
300,"[53, 4, 14, 17, 10, 32, 8, 59, 3, 80]"
301,"[30, 24, 51, 68, 70, 75, 14, 76, 71, 25]"
302,"[76, 75, 57, 40, 2, 41, 3, 37, 58, 42]"
303,"[18, 43, 24, 67, 25, 64, 49, 36, 2, 41]"
304,"[57, 49, 37, 6, 25, 40, 60, 78, 8, 10]"
305,"[37, 30, 8, 56, 71, 14, 77, 63, 66, 42]"
306,"[9, 13, 58, 77, 65, 46, 72, 26, 12, 80]"
307,"[19, 43, 24, 59, 79, 5, 44, 62, 37, 78]"
308,"[10, 57, 23, 80, 63, 26, 50, 29, 58, 41]"
309,"[12, 28, 65, 39, 64, 71, 42, 11, 15, 24]"
310,"[7, 40, 79, 70, 39, 16, 17, 76, 68, 28]"
311,"[16, 44, 8, 27, 1, 24, 20, 6, 73, 32]"
312,"[40, 27, 6, 37, 70, 69, 79, 18, 68, 67]"
313,"[71, 58, 69, 8, 50, 37, 24, 35, 57, 74]"
314,"[72, 32, 29, 51, 39, 21, 60, 24, 30, 55]"
315,"[73, 61, 42, 58, 79, 5, 33, 41, 50, 11]"
316,"[80, 15, 56, 28, 41, 26, 70, 79, 17, 38]"
317,"[58, 69, 71, 67, 16, 37, 22, 72, 60, 48]"
318,"[79, 71, 8, 51, 46, 54, 30, 61, 31, 48]"
319,"[41, 67, 39, 52, 56, 27, 9, 76, 5, 71]"
320,"[80, 14, 39, 65, 17, 46, 79, 78, 6, 9]"
321,"[25, 54, 49, 45, 27, 64, 1, 78, 42, 65]"
322,"[3, 78, 18, 43, 6, 13, 11, 64, 36, 35]"
323,"[8, 46, 64, 41, 68, 63, 27, 18, 9, 29]"
324,"[15, 8, 13, 77, 1, 41, 29, 63, 67, 70]"
325,"[72, 67, 64, 26, 29, 49, 57, 13, 51, 37]"
326,"[13, 77, 68, 19, 20, 69, 22, 79, 75, 65]"
327,"[25, 17, 46, 36, 8, 73, 10, 58, 47, 53]"
328,"[7, 69, 13, 50, 20, 60, 56, 30, 16, 15]"
329,"[34, 5, 26, 77, 65, 19, 18, 60, 22, 76]"
330,"[15, 41, 54, 63, 30, 21, 13, 61, 51, 38]"
331,"[57, 55, 20, 5, 30, 79, 58, 29, 21, 9]"
332,"[26, 58, 13, 32, 18, 27, 33, 43, 75, 14]"
333,"[48, 67, 11, 46, 8, 5, 41, 68, 52, 42]"
334,"[53, 55, 77, 75, 37, 11, 49, 30, 39, 31]"
335,"[61, 26, 20, 80, 46, 38, 31, 72, 3, 28]"
336,"[42, 31, 65, 21, 7, 59, 22, 75, 44, 5]"
337,"[12, 73, 70, 62, 75, 20, 54, 4, 78, 76]"
338,"[61, 12, 32, 34, 70, 58, 73, 69, 8, 77]"
339,"[59, 4, 20, 80, 64, 6, 27, 30, 23, 38]"
340,"[52, 21, 28, 38, 56, 18, 39, 79, 73, 63]"
341,"[48, 21, 29, 45, 4, 38, 74, 62, 42, 6]"
342,"[78, 35, 47, 43, 49, 2, 55, 74, 1, 72]"
343,"[65, 16, 4, 23, 42, 20, 44, 6, 66, 15]"
344,"[76, 17, 71, 19, 34, 42, 57, 12, 72, 47]"
345,"[52, 57, 53, 21, 20, 37, 42, 54, 31, 73]"
346,"[57, 44, 15, 74, 65, 21, 24, 3, 28, 31]"
347,"[46, 65, 5, 14, 68, 30, 8, 13, 12, 79]"
348,"[33, 73, 11, 36, 4, 42, 12, 22, 55, 58]"
349,"[78, 25, 15, 59, 54, 2, 28, 37, 38, 33]"
350,"[41, 10, 43, 56, 51, 77, 21, 62, 15, 55]"
351,"[73, 32, 66, 15, 29, 63, 45, 74, 70, 58]"
352,"[11, 47, 57, 61, 12, 64, 44, 10, 45, 73]"
353,"[77, 55, 37, 47, 58, 43, 75, 33, 18, 60]"
354,"[50, 71, 75, 46, 8, 20, 68, 13, 56, 44]"
355,"[73, 23, 40, 53, 32, 63, 7, 74, 51, 20]"
356,"[23, 46, 8, 78, 52, 64, 63, 31, 44, 77]"
357,"[72, 7, 28, 22, 11, 73, 23, 41, 32, 27]"
358,"[47, 53, 16, 24, 12, 45, 43, 1, 21, 41]"
359,"[72, 9, 68, 69, 25, 58, 33, 38, 80, 48]"
360,"[11, 72, 58, 34, 4, 59, 6, 69, 31, 46]"
361,"[16, 38, 69, 62, 60, 32, 12, 3, 35, 74]"
362,"[26, 68, 51, 25, 59, 64, 2, 71, 75, 80]"
363,"[38, 78, 26, 79, 43, 10, 47, 2, 30, 66]"
364,"[4, 62, 78, 80, 5, 67, 49, 60, 19, 28]"
365,"[49, 50, 35, 61, 74, 60, 5, 4, 54, 58]"
366,"[51, 75, 53, 21, 36, 55, 77, 56, 66, 43]"
367,"[21, 27, 12, 56, 76, 63, 15, 8, 14, 71]"
368,"[47, 45, 33, 70, 16, 66, 40, 42, 49, 39]"
369,"[13, 45, 65, 41, 64, 24, 61, 3, 23, 39]"
370,"[67, 56, 38, 54, 63, 1, 42, 66, 68, 33]"
371,"[13, 31, 74, 72, 52, 51, 29, 79, 77, 61]"
372,"[2, 80, 16, 20, 68, 23, 27, 18, 63, 70]"
373,"[11, 30, 26, 56, 65, 21, 27, 73, 4, 53]"
374,"[32, 11, 71, 1, 26, 80, 4, 46, 28, 72]"
375,"[12, 6, 48, 39, 50, 65, 10, 16, 25, 1]"
376,"[73, 70, 77, 52, 2, 63, 19, 11, 3, 16]"
377,"[29, 70, 58, 7, 17, 78, 9, 5, 28, 61]"
378,"[38, 7, 79, 8, 31, 47, 73, 64, 30, 15]"
379,"[27, 7, 18, 26, 64, 12, 56, 15, 37, 31]"
380,"[40, 6, 52, 9, 39, 10, 63, 80, 62, 5]"
381,"[62, 45, 65, 73, 24, 31, 71, 66, 51, 11]"
382,"[12, 45, 16, 74, 57, 11, 43, 61, 52, 41]"
383,"[79, 1, 78, 59, 31, 20, 66, 42, 76, 71]"
384,"[42, 25, 79, 74, 21, 35, 23, 39, 52, 64]"
385,"[23, 48, 21, 73, 68, 57, 10, 35, 15, 75]"
386,"[80, 16, 57, 73, 75, 72, 3, 9, 58, 50]"
387,"[24, 47, 67, 57, 77, 11, 42, 41, 12, 38]"
388,"[51, 22, 50, 56, 34, 15, 20, 37, 48, 12]"
389,"[26, 28, 5, 67, 48, 13, 11, 79, 50, 59]"
390,"[25, 23, 41, 5, 55, 72, 16, 44, 59, 34]"
391,"[64, 42, 11, 77, 60, 61, 68, 54, 78, 76]"
392,"[58, 65, 56, 32, 2, 46, 48, 23, 43, 69]"
393,"[14, 70, 50, 41, 64, 77, 51, 43, 34, 69]"
394,"[7, 59, 26, 8, 51, 32, 14, 77, 68, 15]"
395,"[73, 29, 70, 25, 18, 12, 31, 51, 58, 26]"
396,"[76, 38, 40, 67, 14, 63, 17, 32, 69, 13]"
397,"[38, 39, 77, 2, 55, 6, 63, 41, 50, 74]"
398,"[57, 34, 76, 24, 80, 8, 27, 78, 58, 51]"
399,"[43, 70, 33, 23, 60, 58, 7, 8, 65, 25]"
