index,data
39,"[40, 17, 39, 15, 46, 76, 59, 18, 24, 3]"
40,"[1, 8, 36, 47, 17, 48, 29, 5, 63, 28]"
41,"[22, 10, 48, 3, 13, 65, 8, 15, 34, 20]"
42,"[64, 24, 63, 32, 37, 23, 40, 61, 68, 54]"
43,"[52, 78, 19, 48, 3, 21, 73, 9, 25, 28]"
44,"[4, 38, 65, 59, 68, 7, 41, 2, 19, 56]"
45,"[59, 61, 7, 3, 9, 65, 47, 27, 38, 64]"
46,"[12, 71, 66, 9, 24, 10, 76, 26, 35, 69]"
47,"[55, 32, 61, 40, 71, 8, 52, 26, 24, 43]"
48,"[46, 15, 61, 79, 20, 10, 68, 69, 2, 22]"
49,"[4, 68, 11, 25, 34, 71, 18, 35, 61, 2]"
50,"[37, 50, 48, 80, 47, 23, 3, 74, 54, 9]"
51,"[29, 25, 72, 78, 10, 55, 36, 76, 34, 62]"
52,"[45, 31, 62, 8, 33, 23, 68, 72, 11, 64]"
53,"[71, 37, 17, 56, 55, 20, 36, 9, 39, 6]"
54,"[2, 76, 53, 33, 78, 70, 79, 60, 12, 67]"
55,"[51, 19, 28, 40, 7, 3, 38, 80, 1, 42]"
56,"[5, 59, 66, 56, 6, 9, 8, 15, 21, 11]"
57,"[80, 69, 62, 44, 45, 79, 6, 15, 39, 22]"
58,"[69, 54, 11, 62, 19, 8, 29, 13, 47, 41]"
59,"[66, 35, 40, 54, 64, 37, 15, 29, 55, 39]"
60,"[30, 50, 6, 56, 59, 15, 70, 78, 31, 7]"
61,"[18, 52, 38, 63, 64, 47, 25, 42, 44, 37]"
62,"[63, 22, 42, 14, 44, 35, 3, 9, 37, 23]"
63,"[15, 31, 16, 65, 38, 4, 30, 75, 10, 71]"
64,"[30, 67, 39, 49, 16, 46, 65, 37, 70, 14]"
65,"[51, 44, 30, 68, 39, 31, 37, 38, 11, 70]"
66,"[70, 30, 80, 16, 66, 62, 76, 2, 7, 11]"
67,"[20, 31, 42, 80, 65, 35, 21, 69, 29, 55]"
68,"[70, 8, 9, 30, 72, 31, 20, 62, 49, 52]"
69,"[15, 74, 2, 61, 40, 26, 34, 73, 50, 30]"
70,"[68, 48, 65, 60, 27, 35, 36, 78, 66, 55]"
71,"[31, 52, 80, 77, 30, 8, 17, 69, 43, 10]"
72,"[6, 66, 19, 60, 63, 13, 12, 1, 28, 29]"
73,"[56, 47, 62, 12, 59, 71, 4, 61, 64, 66]"
74,"[66, 51, 6, 1, 29, 61, 41, 9, 72, 22]"
75,"[67, 56, 50, 24, 53, 43, 22, 1, 33, 49]"
76,"[46, 79, 13, 73, 58, 64, 63, 11, 78, 26]"
77,"[25, 7, 51, 22, 71, 4, 35, 39, 14, 63]"
78,"[15, 55, 38, 3, 62, 63, 40, 50, 53, 44]"
79,"[10, 77, 11, 22, 60, 46, 78, 7, 38, 13]"
80,"[8, 3, 7, 27, 54, 22, 1, 41, 71, 34]"
81,"[53, 79, 9, 18, 52, 50, 63, 16, 69, 14]"
82,"[39, 61, 37, 14, 31, 4, 44, 6, 23, 45]"
83,"[1, 7, 74, 26, 32, 76, 35, 72, 53, 51]"
84,"[4, 49, 65, 12, 13, 74, 35, 37, 7, 32]"
85,"[31, 72, 46, 69, 42, 36, 35, 28, 39, 34]"
86,"[22, 73, 68, 26, 57, 20, 72, 5, 34, 45]"
87,"[34, 30, 17, 48, 27, 19, 25, 39, 73, 45]"
88,"[14, 7, 8, 27, 57, 46, 63, 75, 56, 6]"
89,"[24, 64, 2, 60, 77, 8, 56, 59, 68, 35]"
90,"[52, 50, 79, 40, 66, 78, 74, 10, 16, 53]"
91,"[24, 45, 66, 59, 64, 58, 67, 57, 46, 51]"
92,"[73, 13, 77, 48, 35, 34, 19, 8, 57, 76]"
93,"[1, 5, 48, 52, 21, 49, 29, 36, 4, 3]"
94,"[25, 66, 20, 59, 41, 31, 76, 65, 70, 75]"
95,"[22, 28, 18, 34, 24, 29, 23, 57, 41, 25]"
96,"[7, 26, 10, 28, 45, 18, 62, 40, 61, 21]"
97,"[75, 68, 29, 51, 79, 54, 61, 48, 65, 43]"
98,"[54, 42, 62, 17, 57, 23, 36, 64, 67, 1]"
99,"[62, 33, 43, 68, 17, 77, 36, 14, 50, 60]"
100,"[58, 40, 6, 25, 31, 56, 37, 52, 36, 50]"
